Country,Year,GDP_per_capita,Internet_users_percent,Life_expectancy,Military_expenditure_percent
Nepal,2019,1203.14294706401,33.33660126,69.299,1.23581135255825
Nepal,2020,1154.21517578318,36.96530151,69.106,1.32338446484361
Nepal,2021,1252.75076731986,40.98910141,68.385,1.21581594858048
Netherlands,2019,53554.9007491475,93.2885906040269,82.1121951219512,1.29180842332848
Netherlands,2020,53467.9277413737,91.33333333,81.3585365853659,1.40607718904592
Netherlands,2021,60141.9880911492,92.05298013,81.309756097561,1.36537490886658
New Zealand,2019,42855.831861632,89.86370087,82.0560975609756,1.29326329516102
New Zealand,2020,41997.7830324279,90.92099762,82.2560975609756,1.3399501211388
New Zealand,2021,49950.4251691316,91.99060059,82.2073170731707,1.16477544956865
Nicaragua,2019,1958.62051528095,39.01079941,73.764,0.605020089397565
Nicaragua,2020,1938.44704754382,44.87490082,70.766,0.629971870953776
Nicaragua,2021,2138.38588469449,51.62039948,70.478,0.549759399022683
Niger,2019,561.691304349698,11.28549957,60.031,1.91733600650351
Niger,2020,579.512495758236,11.85680008,59.89,1.73360752172491
Niger,2021,608.722439593808,12.45689964,59.542,1.35730093120168
Nigeria,2019,3189.81286498516,29.74410057,53.009,0.459170524387093
Nigeria,2020,2797.18458068686,31.88879967,53.072,0.632022913474166
Nigeria,2021,2787.48779224428,35.50979996,53.455,1.01270192678284
Macedonia,2019,6718.85826635458,81.4128827618364,76.6024390243903,1.15911628553257
Macedonia,2020,6659.59651070776,81.40553811,74.3951219512195,1.24058656980426
Macedonia,2021,7620.80296977508,81.873703,73.2463414634146,1.45370889108625
Norway,2019,76430.5889473338,98.0000043853142,82.9585365853659,1.84373537818427
Norway,2020,68340.0181033702,94.60755647,83.209756097561,1.96598369239436
Norway,2021,93072.8925119571,99.0000036,83.1634146341463,1.67632184694899
Oman,2019,19180.1864152801,90.25939941,79.946,7.43921190765759
Oman,2020,16784.8630630058,95.23229321,77.763,8.03024250539625
Oman,2021,19403.4600160211,95.23880005,75.969,6.62317519939364
Pakistan,2019,1390.41690981745,17.070901719916,66.729,3.50584031595126
Pakistan,2020,1278.39735206896,18.935,65.701,3.48667909020303
Pakistan,2021,1455.31922370186,18.935,65.773,3.38923879613996
Panama,2019,16477.9066268111,63.6284147731451,78.514,1.56628172321816
Panama,2020,13290.5608397749,64.82430267,76.33,1.56628172321816
Panama,2021,15509.8069124139,66.04270172,77.004,1.56628172321816
Papua New Guinea,2019,2575.77274140393,13.62419987,65.331,0.362698688154268
Papua New Guinea,2020,2429.61134585269,15.02040005,65.075,0.393261831182209
Papua New Guinea,2021,2607.57861874444,16.55960083,64.358,0.329678128303653
Paraguay,2019,5821.18199548738,68.5176284222264,73.668,0.973840384070445
Paraguay,2020,5365.47220721104,73.95751114,72.72,1.02757342677333
Paraguay,2021,5976.93179789949,77.01838621,68.108,0.91821461942659
Peru,2019,7037.00803692604,59.9505036049006,76.275,1.20589146228792
Peru,2020,6133.32552410183,65.25179796,73.832,1.31677830419866
